dataset,within_P0,within_P2,within_P3,within_P4,within_B0_median,within_delta04,LODO_P0,LODO_P4,LODO_delta04
breast_cancer_wisconsin_diagnostic,0.09723734222632167,0.11373283644742545,0.07798911604491124,0.10064905123919039,0.09345196732905144,-0.003411709012868719,0.0910328379055074,0.0876893026919653,0.0033435352135420954
glass,0.033170722448132885,0.03630925429836304,0.03190074485432194,0.034482830590341663,0.03131894384393978,-0.0013121081422087788,0.0421116218371742,0.0436407957801225,-0.0015291739429482976
human_activity_recognition,0.0137823162603125,0.0165610079399708,0.015289283095516259,0.01688842378968792,0.012948597936859218,-0.003106107529375419,0.0338796671065022,0.0242135508149728,0.009666116291529397
iris,0.1153159357713179,0.13858247195088985,0.1255262270257239,0.12566041507136133,0.11689919188600854,-0.010344479300043424,0.1161985898216668,0.1152960949734225,0.0009024948482442979
letter_recognition,0.010540880941486619,0.01161567703273488,0.00906911607813268,0.009517854499588061,0.014477024523749498,0.0010230264418985575,0.0247592874453245,0.0393295366536978,-0.014570249208373302
madelon,0.00596007121643336,0.00556840807800938,0.0060263926024056004,0.00580175337430814,0.00570355523753424,0.00015831784212522008,0.0193571289701171,0.0541261620953309,-0.0347690331252138
mice_protein_expression,0.0236855245392811,0.02409066619783934,0.02637650013970032,0.024479590630330998,0.020465086340009618,-0.0007940660910498998,0.0329183412591549,0.0232418591581649,0.009676482100990001
pendigits,0.04877193961347496,0.048994662841185296,0.029268410664656196,0.037790154375159424,0.05198807961783898,0.010981785238315535,0.0510202108044748,0.0510456873359664,-2.5476531491597232e-05
satimage,0.0358248207149499,0.02419694688169276,0.015541775359093759,0.02454859350150268,0.0369280065302625,0.011276227213447218,0.0364153262588132,0.0345355592836171,0.0018797669751960955
sonar,0.0293040803829133,0.03173078497199036,0.03476122501513022,0.03484854780737624,0.01875084111095496,-0.005544467424462941,0.0382945250933007,0.0617028552162557,-0.023408330122955
spambase,0.05266469282127976,0.039445850176197624,0.03243764426170832,0.038558103085229015,0.037387519968409076,0.014106589736050744,0.049216149972926,0.0503043260170173,-0.0010881760440913033
waveform,0.00751664411383086,0.00877174365577872,0.0050611748232396005,0.007144836733877941,0.00856155081808828,0.000371807379952919,0.0252522752728171,0.0256107249867153,-0.00035844971389820124
