dataset_id,mae_P0,mae_P1,mae_P2,mae_P3,mae_P4,mae_P5
iris,0.11619858982166686,0.11129709295298426,0.10714981308215094,0.12198780295533378,0.1152960949734225,0.1304727369216467
glass,0.04211162183717424,0.08143350723289548,0.042421044631058766,0.08444800478222268,0.04364079578012254,0.06789264269740891
sonar,0.03829452509330071,0.039502185133024684,0.06741915194321847,0.03922697006993011,0.061702855216255716,0.04502680045118178
breast_cancer_wisconsin_diagnostic,0.09103283790550747,0.0920877759827659,0.08911308019012014,0.09888451123448527,0.08768930269196532,0.09019020078827472
spambase,0.04921614997292601,0.08842143695599168,0.05569800744808607,0.09762432233623113,0.05030432601701731,0.12038216012450935
waveform,0.025252275272817103,0.020697406925874927,0.022812577925359706,0.034711819921741646,0.025610724986715353,0.02773167451377477
satimage,0.03641532625881323,0.04018134872981977,0.0344735177548712,0.04850317274914137,0.03453555928361718,0.04096689883195695
pendigits,0.05102021080447482,0.05960742675509938,0.05205055843305664,0.05616513833701214,0.05104568733596641,0.054458082495811744
letter_recognition,0.024759287445324532,0.044743244317534465,0.02112547134159498,0.0636210043379354,0.03932953665369784,0.07262549011422509
madelon,0.01935712897011717,0.0793505099431855,0.04722028880113435,0.07505929926436813,0.0541261620953309,0.046760656262728545
human_activity_recognition,0.03387966710650228,0.026573806809208796,0.01993304651713,0.023352827026400617,0.02421355081497281,0.021824705329733064
mice_protein_expression,0.03291834125915498,0.02395856109005505,0.021210422693602092,0.023525647896639502,0.023241859158164933,0.025559611601888996
